"dim","iso","year","quarter","techq","eu","median1st","median2nd","pres","GOV_POS","govmin","govmax","VP_RANGE","VP_RANGE_EU","minoritygov"
"LR",36,1983,94,94,,-7.6393,-7.6393,,-2.6731,-7.6393,8.6139,16.2532,16.2532,0
"LR",36,1983,95,95,,-6.7916,-6.7916,,-2.0767,-6.7916,8.6389,15.4305,15.4305,0
"LR",36,1984,96,96,,-5.9438,-5.9438,,-1.4803,-5.9438,8.6639,14.6078,14.6078,0
"LR",36,1984,97,97,,-5.0961,-5.0961,,-0.884,-5.0961,8.689,13.7851,13.7851,0
"LR",36,1984,98,98,,-4.2484,-4.2484,,-0.2876,-4.2484,8.714,12.9624,12.9624,0
"LR",36,1984,99,99,,-3.4006,-3.4006,,0.3087,-3.4006,8.739,12.1396,12.1396,0
"LR",36,1985,100,100,,-3.4798,-3.4798,,-3.4798,-3.4798,-3.4798,0,0,0
"LR",36,1985,101,101,,-3.5591,-3.5591,,-3.5591,-3.5591,-3.5591,0,0,0
"LR",36,1985,102,102,,-3.6383,-3.6383,,-3.6383,-3.6383,-3.6383,0,0,0
"LR",36,1985,103,103,,-3.7175,-3.7175,,-3.7175,-3.7175,-3.7175,0,0,0
"LR",36,1986,104,104,,-3.7968,-3.7968,,-3.7968,-3.7968,-3.7968,0,0,0
"LR",36,1986,105,105,,-3.876,-3.876,,-3.876,-3.876,-3.876,0,0,0
"LR",36,1986,106,106,,-3.9552,-3.9552,,-3.9552,-3.9552,-3.9552,0,0,0
"LR",36,1986,107,107,,-4.0344,-4.0344,,-4.0344,-4.0344,-4.0344,0,0,0
"LR",36,1987,108,108,,-4.1137,-4.1137,,-4.1137,-4.1137,-4.1137,0,0,0
"LR",36,1987,109,109,,-4.1929,-4.1929,,-4.1929,-4.1929,-4.1929,0,0,0
"LR",36,1987,110,110,,-4.2721,5.175,,-4.2721,-4.2721,-4.2721,9.4471,9.4471,0
"LR",36,1987,111,111,,-4.8253,5.5623,,-4.8253,-4.8253,-4.8253,10.3876,10.3876,0
"LR",36,1988,112,112,,-5.3785,5.9496,,-5.3785,-5.3785,-5.3785,11.3281,11.3281,0
"LR",36,1988,113,113,,-5.9317,6.3369,,-5.9317,-5.9317,-5.9317,12.2686,12.2686,0
"LR",36,1988,114,114,,-6.4849,6.7242,,-6.4849,-6.4849,-6.4849,13.2091,13.2091,0
"LR",36,1988,115,115,,-7.0381,7.1115,,-7.0381,-7.0381,-7.0381,14.1496,14.1496,0
"LR",36,1989,116,116,,-7.5913,7.4988,,-7.5913,-7.5913,-7.5913,15.0901,15.0901,0
"LR",36,1989,117,117,,-8.1445,7.8861,,-8.1445,-8.1445,-8.1445,16.0306,16.0306,0
"LR",36,1989,118,118,,-8.6978,8.2734,,-8.6978,-8.6978,-8.6978,16.9711,16.9711,0
"LR",36,1989,119,119,,-9.251,8.6607,,-9.251,-9.251,-9.251,17.9116,17.9116,0
"LR",36,1990,120,120,,-9.8042,-6.5481,,-9.8042,-9.8042,-9.8042,3.2561,3.2561,0
"LR",36,1990,121,121,,-9.3455,-6.5481,,-9.3455,-9.3455,-9.3455,2.7975,2.7975,0
"LR",36,1990,122,122,,-8.8869,-6.5481,,-8.8869,-8.8869,-8.8869,2.3388,2.3388,0
"LR",36,1990,123,123,,-8.4282,-6.5481,,-8.4282,-8.4282,-8.4282,1.8802,1.8802,0
"LR",36,1991,124,124,,-7.9696,-6.5481,,-7.9696,-7.9696,-7.9696,1.4215,1.4215,0
"LR",36,1991,125,125,,-7.5109,-6.5481,,-7.5109,-7.5109,-7.5109,0.9629,0.9629,0
"LR",36,1991,126,126,,-7.0523,-6.5481,,-7.0523,-7.0523,-7.0523,0.5042,0.5042,0
"LR",36,1991,127,127,,-6.5937,-6.5481,,-6.5937,-6.5937,-6.5937,0.0456,0.0456,0
"LR",36,1992,128,128,,-6.135,-6.135,,-6.135,-6.135,-6.135,0,0,0
"LR",36,1992,129,129,,-5.6764,-5.6764,,-5.6764,-5.6764,-5.6764,0,0,0
"LR",36,1992,130,130,,-5.2177,-5.2177,,-5.2177,-5.2177,-5.2177,0,0,0
"LR",36,1992,131,131,,-4.7591,-4.7591,,-4.7591,-4.7591,-4.7591,0,0,0
"LR",36,1993,132,132,,-4.3004,-4.3004,,-4.3004,-4.3004,-4.3004,0,0,0
"LR",36,1993,133,133,,-4.3113,-4.3113,,-4.3113,-4.3113,-4.3113,0,0,0
"LR",36,1993,134,134,,-4.3222,-4.3222,,-4.3222,-4.3222,-4.3222,0,0,0
"LR",36,1993,135,135,,-4.3331,-4.3331,,-4.3331,-4.3331,-4.3331,0,0,0
"LR",36,1994,136,136,,-4.344,-4.344,,-4.344,-4.344,-4.344,0,0,0
"LR",36,1994,137,137,,-4.3549,-4.3549,,-4.3549,-4.3549,-4.3549,0,0,0
"LR",36,1994,138,138,,-4.3658,-4.3658,,-4.3658,-4.3658,-4.3658,0,0,0
"LR",36,1994,139,139,,-4.3767,-4.3767,,-4.3767,-4.3767,-4.3767,0,0,0
"LR",36,1995,140,140,,-4.3876,-4.3876,,-4.3876,-4.3876,-4.3876,0,0,0
"LR",36,1995,141,141,,-4.3985,-4.3985,,-4.3985,-4.3985,-4.3985,0,0,0
"LR",36,1995,142,142,,-4.4094,-4.4094,,-4.4094,-4.4094,-4.4094,0,0,0
"LR",36,1995,143,143,,-4.4203,-4.4203,,-4.4203,-4.4203,-4.4203,0,0,0
"LR",36,1996,144,144,,-4.4312,-4.4312,,-4.4312,-4.4312,-4.4312,0,0,0
"LR",36,1996,145,145,,1.4425,1.4425,,1.4425,1.4425,1.4425,0,0,0
"LR",36,1996,146,146,,1.7163,1.7163,,1.7163,1.7163,1.7163,0,0,0
"LR",36,1996,147,147,,1.9902,1.9902,,1.9902,1.9902,1.9902,0,0,0
"LR",36,1997,148,148,,2.2641,2.2641,,2.2641,2.2641,2.2641,0,0,0
"LR",36,1997,149,149,,2.538,2.538,,2.538,2.538,2.538,0,0,0
"LR",36,1997,150,150,,2.8118,2.8118,,2.8118,2.8118,2.8118,0,0,0
"LR",36,1997,151,151,,3.0857,3.0857,,3.0857,3.0857,3.0857,0,0,0
"LR",36,1998,152,152,,3.3596,3.3596,,3.3596,3.3596,3.3596,0,0,0
"LR",36,1998,153,153,,3.6335,3.6335,,3.6335,3.6335,3.6335,0,0,0
"LR",36,1998,154,154,,3.9073,3.9073,,3.9073,3.9073,3.9073,0,0,0
"LR",36,1998,155,155,,4.1812,-5.9461,,4.1812,4.1812,4.1812,10.1273,10.1273,0
"LR",36,1999,156,156,,4.3279,-6.7129,,4.3279,4.3279,4.3555,11.0685,11.0685,0
"LR",36,1999,157,157,,4.4746,-7.4798,,4.4746,4.4746,4.5299,12.0096,12.0096,0
"LR",36,1999,158,158,,4.6212,-8.2466,,4.6212,4.6212,4.7042,12.9508,12.9508,0
"LR",36,1999,159,159,,4.7679,-8.5299,,4.7679,4.7679,4.8785,13.4084,13.4084,0
"LR",36,2000,160,160,,4.9146,-8.7486,,4.9146,4.9146,5.0529,13.8015,13.8015,0
"LR",36,2000,161,161,,5.0612,-8.9674,,5.0612,5.0612,5.2272,14.1946,14.1946,0
"LR",36,2000,162,162,,5.2079,-9.1861,,5.2079,5.2079,5.4015,14.5877,14.5877,0
"LR",36,2000,163,163,,5.3546,-9.4049,,5.3546,5.3546,5.5759,14.9808,14.9808,0
"LR",36,2001,164,164,,5.5012,-9.6236,,5.5012,5.5012,5.7502,15.3738,15.3738,0
"LR",36,2001,165,165,,5.6479,-9.8424,,5.6479,5.6479,5.9245,15.7669,15.7669,0
"LR",36,2001,166,166,,5.7946,-10.0611,,5.7946,5.7946,6.0989,16.16,16.16,0
"LR",36,2001,167,167,,5.9412,-10.2799,,5.9412,5.9412,6.2732,16.5531,16.5531,0
"LR",36,2002,168,168,,6.2494,-10.3359,,6.374,6.2494,6.374,16.7099,16.7099,0
"LR",36,2002,169,169,,6.2257,-10.3919,,6.8068,6.2257,6.8068,17.1987,17.1987,0
"LR",36,2002,170,170,,6.2019,-10.4479,,7.2396,6.2019,7.2396,17.6875,17.6875,0
"LR",36,2002,171,171,,6.1781,-10.5039,,7.6724,6.1781,7.6724,18.1763,18.1763,0
"LR",36,2003,172,172,,6.1544,-10.5599,,8.1052,6.1544,8.1052,18.6651,18.6651,0
"LR",36,2003,173,173,,6.1306,-10.6159,,8.538,6.1306,8.538,19.1539,19.1539,0
"LR",36,2003,174,174,,6.1068,-10.6719,,8.9708,6.1068,8.9708,19.6427,19.6427,0
"LR",36,2003,175,175,,6.083,-10.7279,,9.4036,6.083,9.4036,20.1315,20.1315,0
"LR",36,2004,176,176,,6.0593,-10.7839,,9.8364,6.0593,9.8364,20.6203,20.6203,0
"LR",36,2004,177,177,,6.0355,-10.8399,,10.2692,6.0355,10.2692,21.1091,21.1091,0
"LR",36,2004,178,178,,6.0117,-10.896,,10.702,6.0117,10.702,21.5979,21.5979,0
"LR",36,2004,179,179,,11.1347,5.988,,11.1347,5.988,11.1347,5.1468,5.1468,0
"LR",36,2005,180,180,,11.3004,5.3055,,11.3004,5.3055,11.3004,5.9949,5.9949,0
"LR",36,2005,181,181,,11.466,4.623,,11.466,4.623,11.466,6.843,6.843,0
"LR",36,2005,182,182,,11.6316,3.9406,,11.6316,3.9406,11.6316,7.691,7.691,0
"LR",36,2005,183,183,,11.7972,3.2581,,11.7972,3.2581,11.7972,8.5391,8.5391,0
"LR",36,2006,184,184,,11.9628,2.5756,,11.9628,2.5756,11.9628,9.3872,9.3872,0
"LR",36,2006,185,185,,12.1284,1.8931,,12.1284,1.8931,12.1284,10.2353,10.2353,0
"LR",36,2006,186,186,,12.2941,1.2107,,12.2941,1.2107,12.2941,11.0834,11.0834,0
"LR",36,2006,187,187,,12.4597,0.5282,,12.4597,0.5282,12.4597,11.9315,11.9315,0
"LR",36,2007,188,188,,12.6253,-0.1543,,12.6253,-0.1543,12.6253,12.7796,12.7796,0
"LR",36,2007,189,189,,12.7909,-0.8367,,12.7909,-0.8367,12.7909,13.6276,13.6276,0
"LR",36,2007,190,190,,12.9565,-1.5192,,12.9565,-1.5192,12.9565,14.4757,14.4757,0
"LR",36,2007,191,191,,13.1221,-0.89,,13.1221,-2.2017,13.1221,15.3238,15.3238,0
"LR",36,2008,192,192,,-1.1719,-1.1719,,-1.1719,-1.1719,-1.1719,0,0,0
"LR",36,2008,193,193,,-1.4539,-1.4539,,-1.4539,-1.4539,-1.4539,0,0,0
"LR",36,2008,194,194,,-1.7358,-1.7358,,-1.7358,-1.7358,-1.7358,0,0,0
"LR",36,2008,195,195,,-2.0177,-2.0177,,-2.0177,-2.0177,-2.0177,0,0,0
"LR",36,2009,196,196,,-2.2996,-2.138,,-2.2996,-2.2996,-2.2996,0.1616,0.1616,0
"LR",36,2009,197,197,,-2.5815,-2.2564,,-2.5815,-2.5815,-2.5815,0.3251,0.3251,0
"LR",36,2009,198,198,,-2.8635,-2.3748,,-2.8635,-2.8635,-2.8635,0.4886,0.4886,0
"LR",36,2009,199,199,,-3.1454,-2.4933,,-3.1454,-3.1454,-3.1454,0.6521,0.6521,0
"LR",36,2010,200,200,,-3.4273,-2.6117,,-3.4273,-3.4273,-3.4273,0.8156,0.8156,0
"LR",36,2010,201,201,,-3.7092,-2.7301,,-3.7092,-3.7092,-3.7092,0.9791,0.9791,0
"LR",36,2010,202,202,,-3.9912,-2.8486,,-3.9912,-3.9912,-3.9912,1.1426,1.1426,0
"LR",36,2010,203,203,,-2.7454,-3.7551,,-3.5762,-3.7551,-1.7356,2.0195,2.0195,1
"LR",36,2011,204,204,,-2.6422,-3.5191,,-3.3637,-3.5191,-1.7653,1.7538,1.7538,1
